Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,Mexico,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,"88,098,592","93,194,622","101,675,024","78,106,686","76,335,291"
FAS Value,Mexico,52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF","591,620,838","728,853,212","409,043,129","318,218,691","315,329,614"
FAS Value,Canada,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"527,344,824","705,064,689","547,102,622","409,483,952","462,665,936"
FAS Value,Mexico,30,PHARMACEUTICAL PRODUCTS,"2,131,047,825","1,811,751,747","1,916,126,847","1,539,775,706","2,327,665,904"
FAS Value,Canada,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"2,269,632,854","2,392,454,694","2,343,764,661","1,769,034,957","1,853,027,297"
FAS Value,China,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"45,221,664","43,983,610","51,914,257","38,471,423","30,398,189"
FAS Value,Canada,25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","737,059,651","796,373,863","921,762,454","697,284,599","683,785,262"
FAS Value,Mexico,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","704,867,973","824,985,382","900,864,417","700,277,131","640,042,093"
FAS Value,Canada,63,MADE-UP TEXTILE ARTICLES NESOI; NEEDLECRAFT SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"570,913,233","608,513,573","431,739,169","326,242,386","305,159,044"
FAS Value,Canada,96,MISCELLANEOUS MANUFACTURED ARTICLES,"883,168,050","967,403,239","1,002,159,899","760,650,518","751,423,673"
FAS Value,China,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","7,086,902","4,532,573","2,806,716","2,130,423","3,033,556"
FAS Value,China,39,PLASTICS AND ARTICLES THEREOF,"6,113,537,108","6,799,511,248","7,185,560,400","5,398,751,321","5,470,771,909"
FAS Value,Canada,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,"22,616,829","29,993,924","53,835,951","39,697,747","43,098,824"
FAS Value,China,78,LEAD AND ARTICLES THEREOF,"1,307,642","1,148,372","945,660","756,756","1,120,188"
FAS Value,Canada,76,ALUMINUM AND ARTICLES THEREOF,"2,750,131,566","3,296,496,910","3,101,339,311","2,417,303,582","2,384,795,175"
FAS Value,Mexico,80,TIN AND ARTICLES THEREOF,"55,487,596","50,391,183","51,024,210","39,127,922","31,653,908"
FAS Value,Canada,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","283,358,959","285,277,438","259,704,919","214,895,217","216,240,280"
FAS Value,Mexico,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","1,193,855,085","1,318,519,303","1,454,543,026","1,107,213,301","942,234,234"
FAS Value,Canada,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","477,199,431","556,032,037","529,916,506","379,518,314","366,753,745"
