Imports For Consumption | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Customs Value,Mexico,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,"104,171,175","113,656,404","113,047,599","84,818,418","84,529,079"
Customs Value,Mexico,52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF","62,099,638","54,990,719","53,256,305","39,243,036","41,980,604"
Customs Value,Canada,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"3,682,298,735","5,205,086,116","5,949,419,291","4,445,221,515","3,812,981,061"
Customs Value,Mexico,30,PHARMACEUTICAL PRODUCTS,"657,265,096","783,870,573","895,854,256","648,527,811","791,706,172"
Customs Value,Canada,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"2,400,074,437","2,857,763,103","2,994,285,295","2,306,287,296","2,357,930,876"
Customs Value,China,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"59,209,589","67,609,383","816,949,389","533,554,677","956,508,796"
Customs Value,Canada,25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","1,389,102,543","1,490,556,982","1,420,445,095","1,061,395,915","1,040,766,437"
Customs Value,Mexico,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","797,489,270","963,647,362","1,023,878,961","767,634,190","771,181,488"
Customs Value,Canada,63,MADE-UP TEXTILE ARTICLES NESOI; NEEDLECRAFT SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,"125,916,476","123,642,653","121,157,821","90,686,351","94,997,748"
Customs Value,Canada,96,MISCELLANEOUS MANUFACTURED ARTICLES,"801,150,217","813,779,484","885,830,460","667,423,112","667,812,796"
Customs Value,China,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","97,565,024","115,904,543","84,112,967","59,127,693","66,676,402"
Customs Value,China,39,PLASTICS AND ARTICLES THEREOF,"23,768,429,473","22,770,034,621","18,157,666,255","13,555,938,996","14,481,816,571"
Customs Value,Canada,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,"120,100,722","111,090,762","133,443,190","65,089,682","113,714,717"
Customs Value,China,78,LEAD AND ARTICLES THEREOF,"54,788,617","161,851,654","16,524,296","15,866,721","2,556,098"
Customs Value,Canada,76,ALUMINUM AND ARTICLES THEREOF,"10,894,630,143","12,859,214,932","11,119,530,247","8,515,454,016","8,535,000,434"
Customs Value,Mexico,80,TIN AND ARTICLES THEREOF,"38,944,458","37,665,760","47,824,348","36,042,200","28,345,515"
Customs Value,Canada,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","659,703,228","713,599,778","778,435,494","554,210,851","582,069,374"
Customs Value,Mexico,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","11,247,070,703","12,943,171,123","13,233,209,140","10,090,794,352","9,728,053,910"
Customs Value,Canada,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","146,654,718","143,899,205","123,468,150","94,258,386","87,802,931"
Customs Value,Canada,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,"18,951,901,854","16,647,440,549","10,987,411,976","8,330,269,249","8,503,322,648"
Customs Value,Canada,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","17,835,164","21,244,081","18,752,807","15,784,984","14,418,505"
Customs Value,China,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI","209,697,638","219,333,968","145,789,042","104,378,827","135,732,490"
Customs Value,China,30,PHARMACEUTICAL PRODUCTS,"3,391,667,197","10,214,032,510","6,250,955,020","4,617,407,052","5,873,927,329"
