Trade Balance | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Dom. Exports FAS-Imports for Consumption Value,Mexico,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,"-16,072,583","-20,461,782","-11,372,575","-6,711,732","-8,193,788"
Dom. Exports FAS-Imports for Consumption Value,Mexico,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,"-115,617,171","-121,966,270","-91,946,985","-73,617,402","-76,217,401"
Dom. Exports FAS-Imports for Consumption Value,China,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)","-3,442,848,712","-3,935,731,007","-3,021,460,740","-2,325,239,228","-2,250,909,442"
Dom. Exports FAS-Imports for Consumption Value,Canada,65,HEADGEAR AND PARTS THEREOF,"46,001,103","58,239,276","73,051,329","53,630,173","54,181,083"
Dom. Exports FAS-Imports for Consumption Value,Mexico,18,COCOA AND COCOA PREPARATIONS,"-273,050,477","-380,577,527","-335,541,139","-243,872,808","-282,598,850"
Dom. Exports FAS-Imports for Consumption Value,China,65,HEADGEAR AND PARTS THEREOF,"-1,365,695,584","-1,691,271,512","-1,161,682,743","-929,603,365","-818,763,590"
Dom. Exports FAS-Imports for Consumption Value,Canada,53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,"3,656,421","5,062,429","2,683,980","2,364,498","1,886,917"
Dom. Exports FAS-Imports for Consumption Value,Mexico,52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF","529,521,200","673,862,493","355,786,824","278,975,655","273,349,010"
Dom. Exports FAS-Imports for Consumption Value,Canada,69,CERAMIC PRODUCTS,"312,494,865","311,397,211","320,281,367","242,388,508","233,033,799"
Dom. Exports FAS-Imports for Consumption Value,Mexico,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS","-232,180,699","-518,079,290","-606,608,865","-422,584,766","-414,985,650"
Dom. Exports FAS-Imports for Consumption Value,Canada,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","165,625,446","288,763,178","318,158,081","251,318,071","270,670,078"
Dom. Exports FAS-Imports for Consumption Value,Canada,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"-3,154,953,911","-4,500,021,427","-5,402,316,669","-4,035,737,563","-3,350,315,125"
